產品編號,品名,口味/顏色,大小,規格-數量,品牌,進貨人/廠商,規格,計量單位,標準進價,售價A,售價B,建議售價,主類別,次類別,內部類別,備註,,(廠商名稱),品名規格,,
000002001,調味乳,草莓,,,國農,國農,6入*4封*封,封,65,80,80,85,飲品,冰品飲料類,,,,國農,調味乳/草莓/國農/6入*4封*封,,
000005001,越南糕(香蘭糕),阿香,,,阿香(越南糕),,,盒,40,45,45,45,零食,點心手做,,,,阿香(越南糕),越南糕(香蘭糕)/阿香*盒,,
000006001,康寶鮮雞晶(雞粉),小罐,,,小張-張肇武,小張,220g*24罐入*箱,箱,2040,2160,2160,2200,調味料,調味粉,,,,小張-張肇武,康寶鮮雞晶(雞粉)/小罐/小張/220g*24罐入*箱,,
000006002,康寶鮮雞晶(雞粉),小罐,,,小張-張肇武,小張,220g*24罐入*罐,罐,85,95,95,100,調味料,調味粉,,,,小張-張肇武,康寶鮮雞晶(雞粉)/小罐/小張/220g*24罐入*罐***,,
000006003,康寶雞湯塊,小張,,,小張-張肇武,小張,箱,箱,2256,0,0,0,調味料,調味粉,,,,小張-張肇武,康寶雞湯塊/小張/96小盒入*箱,,
000006004,康寶雞湯塊,小張,,,小張-張肇武,,,小盒,23.5,30,30,30,調味料,調味粉,,,,小張-張肇武,康寶雞湯塊/小張*小盒***,,
000006005,康寶鮮味炒手,小張,,,小張-張肇武,小張,12袋入*箱,箱,1380,1500,1500,1600,調味料,調味粉,,,,小張-張肇武,康寶鮮味炒手/小張/500g*12袋入*箱,,
000006006,康寶鮮味炒手,小張,,,小張-張肇武,小張,袋,袋,115,130,130,140,調味料,調味粉,,,,小張-張肇武,康寶鮮味炒手/小張/500g*袋***,,
000006007,舒酸定牙膏,紅,,,小張-張肇武,小張,160g*48條入*箱,箱,5664,5900,5900,6000,其他,其它,,,,小張-張肇武,舒酸定牙膏/紅/小張/160g*48條入*箱,,
000006008,舒酸定牙膏,紅,,,小張-張肇武,小張,160g*48條入*條,條,118,130,130,140,其他,其它,,,,小張-張肇武,舒酸定牙膏/紅/小張/160g*48條入*條,,
000006009,愛之味醬菜,小張,,,小張-張肇武,小張,箱,箱,1272,1320,1320,1350,其他,罐頭,,,,小張-張肇武,愛之味醬菜/小張/48罐入*箱,,
000006010,愛之味醬菜,小張,,,小張-張肇武,小張,罐,罐,26.5,32,32,35,其他,罐頭,,,,小張-張肇武,愛之味醬菜/小張/48罐入*罐,,
000006011,康寶濃湯,小張,,,小張-張肇武,小張,箱,箱,2784,0,0,0,調味料,調味粉,,,,小張-張肇武,康寶濃湯/小張/96包入*箱,,
000006012,康寶濃湯,小張,,,小張-張肇武,小張,封,封,58,70,70,70,調味料,調味粉,,,,小張-張肇武,康寶濃湯/小張/2包入*封***,,
000006013,康寶排骨湯塊,小張,,,小張-張肇武,小張,大盒,大盒,282,320,320,340,調味料,調味粉,,,,小張-張肇武,康寶排骨湯塊/小張/12小盒入*大盒,,
000006014,康寶排骨湯塊,小張,,,小張-張肇武,,,盒,23.5,30,30,30,調味料,調味粉,,,,小張-張肇武,康寶排骨湯塊/小張*小盒,,
